Campaign,Ad Group,Type,Position,Text,Pin Position,Character Count
Ferienwohnungen,Fewo Herrsching Ammersee,Headline,H1,Ferienwohnung am Ammersee,,25
Ferienwohnungen,Fewo Herrsching Ammersee,Headline,H2,"Ab 90€/Nacht | Sonnenhof",,25
Ferienwohnungen,Fewo Herrsching Ammersee,Headline,H3,Keine Endreinigungsgebühr,,26
Ferienwohnungen,Fewo Herrsching Ammersee,Headline,H4,Seit 40 Jahren Familienbetrieb,,30
Ferienwohnungen,Fewo Herrsching Ammersee,Headline,H5,5 Min. zum Ammersee zu Fuß,,27
Ferienwohnungen,Fewo Herrsching Ammersee,Headline,H6,"Hunde willkommen (10€/Nacht)",,30
Ferienwohnungen,Fewo Herrsching Ammersee,Headline,H7,"Google 4,8/5 | 127 Bewertungen",,30
Ferienwohnungen,Fewo Herrsching Ammersee,Headline,H8,45 Min. S-Bahn nach München,,29
Ferienwohnungen,Fewo Herrsching Ammersee,Headline,H9,Jetzt unverbindlich anfragen,,28
Ferienwohnungen,Fewo Herrsching Ammersee,Headline,H10,Sie sprechen mit der Chefin,,29
Ferienwohnungen,Fewo Herrsching Ammersee,Headline,H11,5 Wohnungen in Herrsching,,26
Ferienwohnungen,Fewo Herrsching Ammersee,Headline,H12,"27–55m² | Küche & Balkon",,25
Ferienwohnungen,Fewo Herrsching Ammersee,Headline,H13,Kostenloser Parkplatz & WLAN,,29
Ferienwohnungen,Fewo Herrsching Ammersee,Headline,H14,Persönliche Beratung,,21
Ferienwohnungen,Fewo Herrsching Ammersee,Headline,H15,Ihr Zuhause auf Zeit am See,,27
Ferienwohnungen,Fewo Herrsching Ammersee,Description,D1,"Familiengeführte Pension in Herrsching. 5 Ferienwohnungen mit Küche, Balkon & kostenlosem Parkplatz.",,89
Ferienwohnungen,Fewo Herrsching Ammersee,Description,D2,"Seit 3 Generationen. Keine Reinigungsgebühr, Hunde willkommen. Jetzt unverbindlich anfragen!",,87
Ferienwohnungen,Fewo Herrsching Ammersee,Description,D3,27–55m² große Ferienwohnungen am Ammersee. Mit S8 in 45 Min. nach München. Ab 90€/Nacht.,,86
Ferienwohnungen,Fewo Herrsching Ammersee,Description,D4,"Google-Bewertung 4,8/5. Persönliche Beratung durch die Inhaberin. Ihr Zuhause auf Zeit am See.",,89
Ferienwohnungen,Fewo Muenchen Umgebung,Headline,H1,Ferienwohnung nahe München,,27
Ferienwohnungen,Fewo Muenchen Umgebung,Headline,H2,"Am Ammersee | Ab 90€/Nacht",,28
Ferienwohnungen,Fewo Muenchen Umgebung,Headline,H3,45 Min. S-Bahn nach München,,29
Ferienwohnungen,Fewo Muenchen Umgebung,Headline,H4,Natur statt Großstadt-Stress,,28
Ferienwohnungen,Fewo Muenchen Umgebung,Headline,H5,5 Wohnungen mit Küche,,22
Ferienwohnungen,Fewo Muenchen Umgebung,Headline,H6,"Ruhig & Grün | Nahe München",,28
Ferienwohnungen,Fewo Muenchen Umgebung,Headline,H7,Kostenloser Parkplatz & WLAN,,29
Ferienwohnungen,Fewo Muenchen Umgebung,Headline,H8,"Google 4,8/5 | Seit 40 Jahren",,30
Ferienwohnungen,Fewo Muenchen Umgebung,Headline,H9,S8 zum Flughafen | Ohne Auto,,29
Ferienwohnungen,Fewo Muenchen Umgebung,Headline,H10,Jetzt unverbindlich anfragen,,28
Ferienwohnungen,Fewo Muenchen Umgebung,Description,D1,"Ferienwohnung am Ammersee – nur 45 Min. mit der S8 nach München. Ruhig, grün & persönlich.",,87
Ferienwohnungen,Fewo Muenchen Umgebung,Description,D2,"Seit 3 Generationen Familienbetrieb. Keine Reinigungsgebühr, kostenloser Parkplatz, Hunde willkommen.",,90
Ferienwohnungen,Fewo mit Hund,Headline,H1,Fewo am Ammersee mit Hund,,25
Ferienwohnungen,Fewo mit Hund,Headline,H2,"Hundefreundlich | Ab 90€",,25
Ferienwohnungen,Fewo mit Hund,Headline,H3,"Hunde: Nur 10€/Nacht",,22
Ferienwohnungen,Fewo mit Hund,Headline,H4,Hundestrand in der Nähe,,23
Ferienwohnungen,Fewo mit Hund,Headline,H5,5 Min. zum See zu Fuß,,22
Ferienwohnungen,Fewo mit Hund,Headline,H6,Garten vorhanden,,16
Ferienwohnungen,Fewo mit Hund,Headline,H7,"Google 4,8/5 Sterne",,21
Ferienwohnungen,Fewo mit Hund,Headline,H8,Jetzt anfragen | Hund & Herrchen,,30
Ferienwohnungen,Fewo mit Hund,Description,D1,"Hundefreundliche Ferienwohnungen am Ammersee. Hundestrand in der Nähe, Wanderwege ab Haustür.",,87
Ferienwohnungen,Fewo mit Hund,Description,D2,"Hunde willkommen für nur 10€/Nacht. 5 Min. zum See, kostenloser Parkplatz. Seit 40 Jahren Familienbetrieb.",,90
