Campaign,Ad Group,Type,Position,Text,Pin Position,Character Count
Pension Zimmer,Pension Herrsching Ammersee,Headline,H1,Pension in Herrsching,,22
Pension Zimmer,Pension Herrsching Ammersee,Headline,H2,"Ab 75€/Nacht | Sonnenhof",,25
Pension Zimmer,Pension Herrsching Ammersee,Headline,H3,"Google 4,8/5 | 127 Bewertungen",,30
Pension Zimmer,Pension Herrsching Ammersee,Headline,H4,Familienbetrieb seit 40 Jahren,,30
Pension Zimmer,Pension Herrsching Ammersee,Headline,H5,Zimmer mit Balkon verfügbar,,27
Pension Zimmer,Pension Herrsching Ammersee,Headline,H6,5 Min. zum Ammersee,,20
Pension Zimmer,Pension Herrsching Ammersee,Headline,H7,Hunde willkommen,,18
Pension Zimmer,Pension Herrsching Ammersee,Headline,H8,Kostenloser Parkplatz & WLAN,,29
Pension Zimmer,Pension Herrsching Ammersee,Headline,H9,Sie sprechen mit der Chefin,,29
Pension Zimmer,Pension Herrsching Ammersee,Headline,H10,Jetzt persönlich anfragen,,25
Pension Zimmer,Pension Herrsching Ammersee,Description,D1,"Gemütliche Gästezimmer in Herrsching am Ammersee. Einzel- & Doppelzimmer ab 75€/Nacht.",,83
Pension Zimmer,Pension Herrsching Ammersee,Description,D2,"Familiengeführte Pension seit 3 Generationen. Google-Bewertung 4,8/5. Jetzt unverbindlich anfragen!",,89
Pension Zimmer,Pension Herrsching Ammersee,Description,D3,"5 Min. zum See, kostenloser Parkplatz, WLAN inklusive. Persönliche Beratung durch die Inhaberin.",,88
Pension Zimmer,Pension Herrsching Ammersee,Description,D4,"Ab 2 Nächte buchbar. Hunde willkommen. Keine versteckten Kosten. Ihr Zuhause am Ammersee.",,85
Pension Zimmer,Pension Muenchen Umgebung,Headline,H1,Pension nahe München,,21
Pension Zimmer,Pension Muenchen Umgebung,Headline,H2,"Günstiger als Hotel | Ab 75€",,29
Pension Zimmer,Pension Muenchen Umgebung,Headline,H3,S8 zum Marienplatz: 45 Min.,,28
Pension Zimmer,Pension Muenchen Umgebung,Headline,H4,"Am Ammersee | Ruhig & Grün",,27
Pension Zimmer,Pension Muenchen Umgebung,Headline,H5,Persönlicher Service,,21
Pension Zimmer,Pension Muenchen Umgebung,Headline,H6,"Google 4,8/5 Sterne",,21
Pension Zimmer,Pension Muenchen Umgebung,Headline,H7,Ideal für Messe & Events,,24
Pension Zimmer,Pension Muenchen Umgebung,Headline,H8,S-Bahn zum Flughafen,,22
Pension Zimmer,Pension Muenchen Umgebung,Headline,H9,Ab 2 Nächte buchbar,,20
Pension Zimmer,Pension Muenchen Umgebung,Headline,H10,Jetzt unverbindlich anfragen,,28
Pension Zimmer,Pension Muenchen Umgebung,Description,D1,"Pension am Ammersee – nur 45 Min. mit der S8 nach München. Günstiger als jedes Stadthotel.",,86
Pension Zimmer,Pension Muenchen Umgebung,Description,D2,"Ideal für Messebesucher, Konzertgänger & München-Ausflügler. Ab 75€/Nacht, Parkplatz inklusive.",,90
